"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZFR2",6.74091483049334,-3.08811036902338,27.3330272669463,1.03942271484516e-80,2.49087259385494e-76,171.709793679394
"SMC1B",6.67107128229344,-1.53708521838562,26.1856271342417,5.59373419189489e-77,6.70241230872846e-73,163.36572928129
"AC019171.1",4.12658832859255,-4.61955689396522,24.6984084008826,4.87446890991434e-72,3.89372576523958e-68,152.295056854993
"STAG3",4.46200032904426,0.61588630274825,19.5688311256705,3.45309828004007e-54,2.06875117957201e-50,112.11892217967
"SYCP2",5.22634876172931,0.542456835379174,19.4674161700607,7.97186647341764e-54,3.82075616337961e-50,111.298743429917
"RAD9B",2.75805188688462,-0.913895912861623,17.8352825903577,6.09412843848727e-48,2.43399489833182e-44,98.0080670660259
"ZNF541",5.49704577640338,-1.59661013873505,17.707389956423,1.77073790381832e-47,6.06199473244316e-44,96.9608201644672
"SHCBP1L",4.32088499736816,-4.76534437385808,17.5098873473058,9.20375192703393e-47,2.75698388974301e-43,95.342396313074
"UPB1",4.21580190258894,-2.43494207893112,16.6331975768849,1.39826884413391e-43,3.72312384231388e-40,88.1461074649961
"TCAM1P",5.78350584619504,-2.20327284356391,16.5035908283189,4.1326323430939e-43,9.90344014699023e-40,87.0812581364072
"ABCA17P",4.76543816137158,-2.25322485685864,16.3572344604859,1.40498813381753e-42,3.06083051261847e-39,85.8787217849964
"MAJIN",3.93983416697199,-4.13825565650602,16.1085395050116,1.12352428369794e-41,2.0710873795798e-38,83.8354164495929
"C19orf57",2.52611960116596,1.63872090500705,16.0885479153491,1.32785511774123e-41,2.27290857439648e-38,83.6711805555621
"SOX30",4.25836117765009,-1.2615370799652,15.8529132271319,9.51199938989523e-41,1.42465970862156e-37,81.7357442476829
"TAF7L",4.49191733427383,-2.72482329321605,15.6568516588335,4.89082566777823e-40,6.8943380178022e-37,80.1260764215082
"AL021391.1",2.9090227124157,-4.4024810231601,15.6497050571036,5.19151717046269e-40,6.91163985960932e-37,80.067418905899
"GRIN2C",2.82214599256161,-0.811574054531903,15.4203134576877,3.5208400028415e-39,4.44070578042599e-36,78.1853749476116
"ARHGEF33",3.36439567151827,-2.21318306558626,15.1736528193581,2.75184487110004e-38,3.29726052455207e-35,76.1636086866515
"SYCE2",2.9189954792092,-2.19631185280834,15.1286537884735,4.00319608354453e-38,4.5682186164791e-35,75.7950342181932
"SYNGR3",3.30038772428928,0.955217272377214,14.8565320696349,3.85336175189321e-37,4.19736186465313e-34,73.5682030692169
"KLHL35",3.48206057848663,-0.158723499424721,14.7256246734331,1.1436078221975e-36,1.19153990657134e-33,72.4983659643908
"LINC01305",4.63887072093692,-2.82022033368875,14.6041797808852,3.13427876345443e-36,3.12957734530925e-33,71.5067880913464
"MIR9-3HG",4.09759100365034,1.42999281761449,14.4613148589474,1.02483850499819e-35,9.44585766683715e-33,70.3415665484049
"CDKN2C",2.36707589235474,3.8474712935659,14.2841717986282,4.44313732187855e-35,3.80269081362491e-32,68.8988215621208
"RIBC2",2.95743383415823,0.714846824298011,13.3735686760351,7.98209253856847e-32,6.59596088256051e-29,61.5275076088939
"DDX25",3.21124060810849,-4.0705687320234,13.2783719573664,1.73780904094082e-31,1.38816186190352e-28,60.7621554675461
"CNTD1",2.36309280885107,-1.68160486143223,12.9911888387117,1.80351764035979e-30,1.35060927292444e-27,58.4605224183245
"COL4A6",-4.35401394591474,4.54923664901165,-12.8635897408837,5.0810699517636e-30,3.58125765659008e-27,57.4416009928751
"F2RL1",-2.77191971496032,5.35005405222178,-12.8592325019504,5.2637753744066e-30,3.60403180206514e-27,57.4068496007423
"TCP11",4.92873515000082,-2.25730037346927,12.8142810049364,7.57707007465794e-30,5.0438029796973e-27,57.0485044032444
"ADORA2A-AS1",3.10493284568775,-3.02910336843491,12.646151742166,2.95120506261181e-29,1.81340200308793e-26,55.7109936614344
"MEI1",3.33747938031247,1.21495263319676,12.4802564699486,1.12376977878494e-28,6.73250474470059e-26,54.3957597733497
"GPR137C",2.0143868508474,-0.346132132323262,12.3787358843699,2.54104180389266e-28,1.48520794606058e-25,53.5932142386513
"TDRD10",3.28815325676193,-1.97549818326959,12.2483400532835,7.22684684207857e-28,4.12343232675169e-25,52.5651030876639
"WNK3",3.43043355780768,-0.872458082233354,12.156790234913,1.50256763523649e-27,8.37384437460636e-25,51.8451539968792
"SLC4A3",-2.08829593584376,2.79951106174841,-11.8149324731721,2.27781156031334e-26,1.18664078763802e-23,49.1713216377836
"AC108925.1",-2.926217862003,0.535922743221428,-11.5233751220982,2.26983222339286e-25,1.04604345002666e-22,46.9104201993863
"SLC7A5",-2.27630304286998,9.08321947659348,-11.5207978227456,2.31623742304231e-25,1.04728893595823e-22,46.8905195160191
"RORB",3.9231396604901,-0.511536618986441,11.50941061325,2.53284544178721e-25,1.11206571843837e-22,46.8026112704501
"KASH5",3.67792220432314,-3.9255090513908,11.3982071822392,6.05444037289269e-25,2.50152774303449e-22,45.9457254575754
"PPP2R2C",-3.42846835337767,6.07646064656434,-11.3677294134322,7.68384577483811e-25,3.12094373132577e-22,45.711389256791
"MSX2",-2.70008493676174,1.71437644622878,-11.3179983133351,1.13307885063023e-24,4.45132812729553e-22,45.3295005444111
"YBX2",4.54559474866381,-0.412753883272743,11.3064471844523,1.23994584842275e-24,4.79259069541979e-22,45.2408847929646
"TLX2",3.35341877525601,-2.27555330317832,11.2810036990252,1.51206828127732e-24,5.66175067070775e-22,45.0458078343813
"KEL",4.02464123331856,-2.34386090975987,11.1656252318172,3.71060241933229e-24,1.34728600571029e-21,44.1632149822768
"AC069499.1",2.11456147847427,-1.97173245267874,11.1587207692756,3.91497554287727e-24,1.4002757299927e-21,44.1105054391137
"AL161431.1",-4.80798819658507,3.72746684633996,-10.9372450353199,2.1716489075221e-23,7.1289581397068e-21,42.4263060554344
"RAMP2-AS1",2.54117852642133,-1.75795548417107,10.8951354204101,3.00345077407346e-23,9.47035451972322e-21,42.1075629578197
"AC046185.3",2.0333682732885,0.360413390298482,10.8928723228752,3.05621065969662e-23,9.51156262973635e-21,42.0904464141582
"SYT10",2.89857576268951,-4.79222135613444,10.8027675696461,6.10658001651297e-23,1.85238080399642e-20,41.410100831989
"NEFH",3.41489671141157,-0.35899943248296,10.7865034601142,6.91760596577451e-23,2.04658653535581e-20,41.2875373374944
"LUARIS",-3.25416264344223,-1.05923695055801,-10.7764240311986,7.47314071516994e-23,2.18397980607723e-20,41.2116177784348
