"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"B3GALT6",-2.34177286448975,2.36028245427248,-36.0210745275657,1.6656422259434e-106,2.30491571226048e-102,226.867790641705
"HSF4",-2.88671119170734,-0.799931597795692,-18.556098109073,1.66549599384884e-50,7.68237785429341e-47,103.363982539015
"SYCP2",-3.0777816428694,2.53241631155626,-14.926493714017,2.2768481062258e-37,7.87675602348816e-34,73.8612446603944
"ZNF233",2.08485685192073,-2.40946241423559,13.5188939531173,2.53316230226513e-32,5.84231665645747e-29,62.5025868536411
"MEI1",-2.21282999750126,-0.586909420088723,-12.979333676866,2.06168102425545e-30,3.56619275170587e-27,58.2001254559073
"ZNF773",2.79126233812509,-3.37287193619598,12.0857042679394,2.73108983549413e-27,3.14940176196398e-24,51.1681477048059
"EDIL3",2.15474996889486,-4.36622680246116,11.8132851415243,2.37386740606875e-26,2.52689055116765e-23,49.0528889390377
"MSX2",2.80640882815223,-2.9969943918882,11.0505908298092,9.26151747225122e-24,7.5388752224125e-21,43.2169989229536
"DDX25",-2.80250412213458,-0.883042273398839,-10.7569231477859,8.86237833520965e-23,6.45461007382269e-20,41.0083405945541
"GREM2",2.3254099391485,-3.49393108057084,10.6784999238531,1.61340609871993e-22,1.11631567970432e-19,40.4225120263413
"LIME1",-2.09245010240766,-0.765053987278283,-10.2132044419496,5.43645721600394e-21,3.41953158886648e-18,36.9838024414221
"ST8SIA4",2.75574436479865,-3.21218052301503,10.2001893065555,5.9927859478755e-21,3.60557269333484e-18,36.8885703116088
"DERL3",-2.71417511125294,-1.43756675448499,-9.74030075430605,1.80777221634352e-19,7.58059149386716e-17,33.5594340321879
"ALX4",2.10221468550009,-2.65093992920046,9.15118583899815,1.27208765289138e-17,4.00998156038671e-15,29.4052009088158
"CDH18",2.61520693931941,-3.16592433189382,8.94925668101603,5.29977148057778e-17,1.46676475496471e-14,28.012422614175
"C12orf42",2.30141448489636,-2.38820759245691,8.79974344164929,1.50804631995779e-16,3.86450832881036e-14,26.9920909565126
"PCSK2",3.02675040348087,-4.28724181782645,8.40342061286852,2.30112249850243e-15,4.68278428445244e-13,24.3346079240695
"NEFL",2.46582896526729,-4.76863530621086,8.22992470099691,7.41886586773445e-15,1.3508192878646e-12,23.1938039581003
"SLC35F3",2.07796814469759,-2.65759504363155,8.14308227594538,1.32588602857354e-14,2.35225780300007e-12,22.6281462725747
"FAM184B",-2.04057045426488,-2.4533320724798,-7.97574744215405,4.01750970578796e-14,6.46445340798764e-12,21.5485452241007
"NT5E",2.02009940313469,-1.50941140244369,7.90172640274163,6.53168160625186e-14,1.00428233408126e-11,21.0754130762533
"C15orf56",-3.16182006344646,-2.49886363391318,-7.89950592560992,6.62732595043341e-14,1.00779051101206e-11,21.0612626899384
"MYO15B",-2.08684156497799,-1.30030131037892,-7.87079942180651,7.9957844542167e-14,1.12903740079031e-11,20.8785500866007
"DLEC1",-2.05153882838517,-1.69717495504295,-7.27943018913242,3.47607168990699e-12,3.56310222555058e-10,17.210684992321
"TRAM1L1",2.34335962123417,-2.27884918740627,7.04695214919918,1.4541780772339e-11,1.25768226454767e-09,15.821353071525
"PRMT8",2.30281960839843,-2.96047733637614,6.70613152320895,1.12071600633147e-10,8.07732713313276e-09,13.8415031638397
"POU4F1",-2.21367600014545,-1.87705574499434,-6.52732791713862,3.18274746828923e-10,2.10731385005676e-08,12.8309276997249
"NTSR1",2.0648955146964,-4.35370685132172,6.45074179852161,4.94737940193019e-10,3.08739034107227e-08,12.4041601342405
"MDFI",2.10244008373505,-3.98754437761664,6.4476531533164,5.03579703114636e-10,3.11095354093765e-08,12.3870265247925
"ZNF85",2.22088506518997,-1.57004325351432,6.32749279933315,9.9851647255514e-10,5.59411779239597e-08,11.7251705946811
"MMP16",2.37598105253654,-2.95005044281651,6.28017314098939,1.3042160960454e-09,7.07754601453972e-08,11.4670681930893
"INA",-2.16938330665704,-2.02063783711493,-6.04800691192287,4.73669212060222e-09,2.15612978831887e-07,10.2218980212463
"GRIN3A",2.0213283559996,-1.87378812255534,5.85234689341178,1.36681402884041e-08,5.49824782880627e-07,9.20040347116761
"CCNA1",2.06362562987772,-1.68311347502544,5.66668248120014,3.64914179128319e-08,1.28323018648802e-06,8.25530132336274
"ANO5",2.30124733043713,-2.55655335160646,5.51827947136584,7.86614786908187e-08,2.43516228662986e-06,7.51720018673618
"CTNND2",2.42183437332541,-1.39803638021919,5.1668747555518,4.56081546743648e-07,1.09002701966124e-05,5.83252509191385
"SLC22A16",-2.04290324609663,1.00703909226122,-4.95096594253056,1.28530710005677e-06,2.63497476304973e-05,4.84264485227632
"C12orf56",-2.14748495266036,-2.36637061743778,-4.89988912913195,1.63415663938018e-06,3.23799826856358e-05,4.61362135079956
"WNK2",-2.15383255314199,-2.4567058621206,-4.37611293097609,1.71341667145569e-05,0.000237577754505048,2.38193133773098
