"gene","module"
"ENSG00000168530.16","green"
"ENSG00000133055.9","green"
"ENSG00000109061.10","green"
"ENSG00000159251.8","green"
"ENSG00000125414.19","green"
"ENSG00000147381.11","grey"
"ENSG00000196091.15","green"
"ENSG00000129170.10","green"
"ENSG00000122180.5","green"
"ENSG00000134184.13","grey"
"ENSG00000111245.17","green"
"ENSG00000164122.9","green"
"ENSG00000186439.14","green"
"ENSG00000163092.21","green"
"ENSG00000185686.18","grey"
"ENSG00000175084.12","green"
"ENSG00000143632.14","green"
"ENSG00000092054.13","green"
"ENSG00000170807.12","green"
"ENSG00000133020.4","green"
"ENSG00000221867.9","grey"
"ENSG00000111046.4","green"
"ENSG00000104879.5","green"
"ENSG00000197893.14","green"
"ENSG00000197172.10","grey"
"ENSG00000105141.6","yellow"
"ENSG00000239474.7","green"
"ENSG00000167768.4","yellow"
"ENSG00000077522.14","green"
"ENSG00000115593.15","green"
"ENSG00000106536.21","blue"
"ENSG00000148677.7","green"
"ENSG00000182968.5","grey"
"ENSG00000253706.5","grey"
"ENSG00000243955.6","blue"
"ENSG00000143536.7","yellow"
"ENSG00000138100.14","green"
"ENSG00000114854.8","green"
"ENSG00000081248.11","green"
"ENSG00000142700.12","yellow"
"ENSG00000170290.4","green"
"ENSG00000091482.8","green"
"ENSG00000086967.10","green"
"ENSG00000185860.13","blue"
"ENSG00000135902.10","green"
"ENSG00000116745.7","turquoise"
"ENSG00000119125.17","blue"
"ENSG00000180209.12","green"
"ENSG00000239893.2","red"
"ENSG00000203837.5","yellow"
"ENSG00000205076.4","yellow"
"ENSG00000162782.16","green"
"ENSG00000108878.5","green"
"ENSG00000095596.12","blue"
"ENSG00000114638.8","blue"
"ENSG00000172995.16","green"
"ENSG00000104722.14","grey"
"ENSG00000282651.2","turquoise"
"ENSG00000185873.8","blue"
"ENSG00000136694.9","yellow"
"ENSG00000007038.11","blue"
"ENSG00000250920.3","turquoise"
"ENSG00000281990.1","turquoise"
"ENSG00000203783.5","yellow"
"ENSG00000171711.3","yellow"
"ENSG00000147246.10","grey"
"ENSG00000167916.5","blue"
"ENSG00000022556.16","grey"
"ENSG00000198842.10","green"
"ENSG00000181617.6","turquoise"
"ENSG00000138347.16","green"
"ENSG00000145879.11","yellow"
"ENSG00000154080.14","blue"
"ENSG00000163825.4","grey"
"ENSG00000276566.1","turquoise"
"ENSG00000170477.13","blue"
"ENSG00000268916.6","grey"
"ENSG00000233854.2","grey"
"ENSG00000204544.5","blue"
"ENSG00000130595.19","green"
"ENSG00000159184.8","yellow"
"ENSG00000182938.7","yellow"
"ENSG00000184330.12","yellow"
"ENSG00000112761.21","grey"
"ENSG00000177238.14","green"
"ENSG00000008394.13","blue"
"ENSG00000250026.5","blue"
"ENSG00000211655.3","turquoise"
"ENSG00000271569.1","turquoise"
"ENSG00000211973.2","turquoise"
"ENSG00000163209.15","blue"
"ENSG00000007306.15","blue"
"ENSG00000133454.16","green"
"ENSG00000168703.5","yellow"
"ENSG00000196805.7","yellow"
"ENSG00000287059.1","blue"
"ENSG00000159516.9","yellow"
"ENSG00000171345.13","blue"
"ENSG00000141161.12","green"
"ENSG00000225523.2","turquoise"
"ENSG00000157765.13","blue"
"ENSG00000152977.10","grey"
"ENSG00000211638.2","turquoise"
"ENSG00000178172.7","yellow"
"ENSG00000077009.13","green"
"ENSG00000244122.2","blue"
"ENSG00000211639.2","turquoise"
